Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Lead,Okay will do!,,,,,
Agent,Loved “Okay will do! ”,,,,,
Agent,What’s the word after a 2nd time?,,,,,
Lead,"I’m still waiting on the quote, she said there’l system been down but I just want to see if it will be more for a 15 months lease instead of 12 but I really like the place and the drive from there to work was ehhh lol it was okay for that price but still want to see the rest tomorrow before I make the final decision",,,,,
Agent,"Okay, lol for the price you gotta get up a little earlier. Got you, I’ll meet you tomorrow at The Travis but I have to leave after so you’ll do Modera Washington without me. And Modera Garden Oaks, it’s about the same distance from work for you as Rosslyn, it’s brand new and it’s even cheaper than Rosslyn. You let me know if you want to cancel or keep it just to see, you never know.",,,,,
Lead,I’ll keep it just to see it and okay that’s fine,,,,,
Agent,Loved “I’ll keep it just to see it and okay that’s fine ”,,,,,
Agent,"Good morning, my car didn’t start this morning 😕 so I’m not going to be able to make it to Travis either. You’re going to be on your own today but let me know how everything goes",,,,,
Lead,"Good morning and it’s okay, I’ll keep you posted and I hope everything works out with your car",,,,,
Agent,"Loved “Good morning and it’s okay, I’ll keep you posted a…”",,,,,
Agent,Okay sounds good. And thank you!,,,,,
Lead,Travis said I need a locator here to do the tour,,,,,
Agent,"Hey, did they let you tour? They require me to be there to get credit but you should’ve been fine to tour. I didn’t want the tour to get held up because of me",,,,,
Lead,They said I could not tour because you weren’t there so I left. The Modera Washington wasn’t good just modera garden oaks was the best and I’m going with them.,,,,,
Agent,"That’s crazy, i’m sorry you couldn’t see them. Glad you liked Modera Garden Oaks though. You must’ve loved them to choose them over Rosslyn!",,,,,
Agent,You have everything you need from them to apply?,,,,,
Lead,I applied with them and yea the crowd there is more my age and I loved the decor and how the building is,,,,,
Lead,Did you put anything in the system to make sure you were listed? I’ll email them once I hear back about my application,,,,,
Agent,"Okay great. Yea I sent your guest card before hand, but was there anywhere to list “locator” as your referral on the app?",,,,,
Lead,No there wasn’t and that application gave me anxiety with the timer. I was applying for one apartment and someone submitted an application for the same one but they had the same floor plan next door so I was able to still get it but it’s not white cabinets but it’s okay because they had a den,,,,,
Agent,Lol you’re not the first to tell me that. Nice! You got one with the den. That’s perfect. Happy with your final decision?,,,,,
Lead,Yes I was able to hang with the residence when I was applying and they were cool. It looks like a lot of black people my age,,,,,
Agent,That’s dope. I’m happy we found the right place,,,,,
Agent,"I’ll need a few details so I can invoice the property correctly. Can you send these when you get them please
 
 Unit:
 Base Rent:
 Move date:
 Lease term:
 
 Also, they might give you a locator addendum at your move in. Please make sure you add my info to link me as your referral, here’s any info you’ll need…
 
 Ashanti Depass
 631-332-9092
 Ashanti.depass@aptamigo.com
 Aptamigo/Nav agency - Broker",,,,,
Agent,"For real, thanks for working with me again Elyshia, I really appreciate you trusting me. If you need me for anything during the approval process just let me know!",,,,,
Lead,,IMG_7211.jpeg,,,,
Lead,This is what they sent me and she said she will change the move in date manually to 9/1/24,,,,,
Lead,18 months,,,,,
Agent,"Perfect, thanks!",,,,,
Lead,You’re welcome! I gotta be the easiest client 🤣🤣🤣,,,,,
Agent,"Lol well if I’m being honest, repeat clients are always the easiest. You already know me. But you do give little issues lol 💆🏽‍♂️",,,,,
Lead,Lol what issues?,,,,,
Agent,Little issues lol as in none,,,,,
Lead,Ooo lol okay. Thank you again though,,,,,
Agent,Loved “Ooo lol okay. Thank you again though ”,,,,,
Agent,Of course. And thank you again,,,,,
Lead,You’re welcome!,,,,,
Agent,…You think Mark would want to move into Modera too? It’s within his budget,,,,,
Lead,Yea I sent him the videos and told him about it so just waiting for him to text back,,,,,
Agent,"Okay cool, what’s his last name and email?",,,,,
Lead,Hey! I haven’t heard from him. I sent the videos and asked if he likes it but he’s been MIA,,,,,
Agent,Okay! When/ if you do can you send it? I just want to send a guest card to Modera incase he leases there. I have a feeling he might,,,,,
Lead,"I will, I know he’s not going to like that it’s an electric stove because that bothers me but I can get over it",,,,,
Agent,Mmm I recently made that switch too lol definitely understand that. If you hear from him lmk. I figure if he’s not answering you he damn sure won’t answer me,,,,,
Lead,Lol I will,,,,,
Agent,Lol ok thanks,,,,,
Lead,You’re welcome,,,,,
Lead,"Happy New Year! Hope all is well! I have a mutual friend that’s moving here and needs help looking for a pet friendly, safe area apartment. Are you able to assist her? She will be here next week to look at places",,,,,
Agent,"Happy New Year! Of course, I’m happy to help. Thanks for the referral. Just have her text me!",,,,,
Lead,You’re welcome and will do!,,,,,
Agent,Loved “You’re welcome and will do!”,,,,,
Lead,"Good evening! Hope all is well! My lease ends in February and I want to start a new lease 2/1 so that means I would need to lock in another place the end of December. Are you able to help me find a townhouse (3 bedroom minimum and 2 bathroom minimum). I want to stay in this zip code 77025. And the budget would be no more than $2,200",,,,,
Agent,"Morning Elyshia! Thanks, I hope the same. I’m not quite sure I can find a 3 bed townhouse inside the loop under $2200 and in such a specific zip code. Do you have any flexibility in what you’re looking for?",,,,,
Lead,What flexibility do you need to find it?,,,,,
Agent,A good budget for townhome inside the loop is about $2500 minimum. $2200 can be doable but outside of the loop,,,,,
Lead,It has to be that area code. What about a two bedroom?,,,,,
Agent,"Apartments, yes. But not townhomes in that price and zipcode. But even apartments in that specific zip code I don’t think you’ll like. There are some in neighboring zip codes but that specific zip code is pretty weak for newer builds if I’m being honest. You couldn’t be even one zip code away?",,,,,
Lead,My boyfriend wants to be close to his dad for health reasons so that’s why I wanted that zip code. I’ll compromise on the new build but it has to look update at least. I’ll even consider one zip code away depending how far it is from his dads house,,,,,
Agent,Okay. Do you want to share the address and max distance you want to be?,,,,,
Lead,Let me find the address,,,,,
Agent,Loved “Let me find the address ”,,,,,
Lead,"I can’t find the address and waiting for him to send it but if you can find one near the target that’s at this address we can work with that
 
 8500 S Main St, Houston, TX",,,,,
Lead,"He said it can be area code 77035, 77045, 77054 or pearland",,,,,
Agent,"Okay, I just emailed you some options to your Gmail. Check spam if you don’t see it. 
 
 Keep in mind availability for February won’t be showing yet. I added those ZIP Codes plus Pearland and surrounding ZIP Codes. 
 
 Let me know if you plan to start touring soon or we are going to wait for February availability to show 👍🏼",,,,,
Lead,We might need to wait for the February availability to show because I won’t tour until December since they only hold apartments for 60 days,,,,,
Agent,Okay sounds good. Still take a look and let me know your thoughts on the places I sent so I can know what to be on the lookout for,,,,,
Lead,I’m looking now. There’s no 3 bedrooms for around that price either?,,,,,
Agent,"I added 3 bedrooms at Espria, Lenox sienna, and 1879 at the grid. Those are more toward Missouri city though. 3 bedrooms go the fastest usually at any apartment and price point will still be difficult to find if generally close to the inner-loop. Espria is closest of the 3 though and built just a few years ago",,,,,
Lead,Okay thank you! I’m a take a look,,,,,
Agent,Of course! Sounds perfect,,,,,
,,,,,,
,,,,,,
,,,,,,
Lead,"Hey good afternoon. This is Ifueko. I have a new number. Not sure if you would remember me but you were helping me and my friend over the summer looking for a new place and my friend actually moved into an apt you helped her find. Well now I am looking for a new place again. If so my move in date is preferably Feb 28th or March 1st. I am looking for a studio, 1 bedroom and if there’s a good deal I’m open to a 2 bedroom. My price maximum is $1700. I can move sooner if there are any move in specials like first month free etc as well. I’m looking for more modern, w/d, garage needed. Are you able to help me find a place again?",,,,,
Agent,"Hey Ifueko, of course I remember you. I actually just checked up on Kandisse the other day. I’d be happy to help. 
 
 And okay got it. What areas/neighborhoods are you considering?",,,,,
Lead,"Heights, Montrose, Upper Kirby, Medical Center, or Bellaire",,,,,
Lead,And Kandisse said she’s loving her place 😁 She didn’t get the text because she changed her number last month,,,,,
Agent,"Loved “Heights, Montrose, Upper Kirby, Medical Center, or Bellaire”",,,,,
Agent,"Yea the message showed up green lol. That’s perfect though, I’m really happy to hear that. I’ll send you some options today 👌🏼",,,,,
Lead,Ok thank you!,,,,,
Agent,"Of course! Just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Lead,Ok looking at them now!,,,,,
Agent,Loved “Ok looking at them now!”,,,,,
Lead,,Screenshot 2025-01-12 at 2.43.09 PM.jpeg,,,,
Lead,I’m liking this shower and tub separate for the bathroom at The Oliver. Is that for the one bedroom or the 2bedroom? To be honest I would love if I could find something like that in either a one bedroom or two bedroom. With a garage and w/d and a gym,,,,,
Lead,https://www.tiktok.com/t/ZTYEqsWHD/,,,,,
Lead,I love the shower and bath combo like this,,,,,
Lead,The ones that I hearted I’m able to look at on Saturdays/Sundays whenever you get the availability to tour from them.,,,,,
Agent,Okay got it! I’ll verify which have the tub/shower combo and see if there are any others I can add. For now I’ll get the ones you “❤️’d” scheduled for this upcoming weekend,,,,,
Lead,Loved “Okay got it! I’ll verify which have the tub/shower…”,,,,,
Lead,Ok!,,,,,
Agent,Hey! What did you like most about your favorites? There are a bunch in there that I’m surprised you didn’t choose and want to direct you better.,,,,,
Lead,"To be honest, I think it’s the location for the one in the med center and the bathroom for the Oliver and the other two I have never toured so I wanted to see those. I’ve seen mostly the other ones you have sent. Do you think there are some in there that you have sent that I should reconsider? I’ll tour them again if you think they are better and maybe looking at them again may change my mind",,,,,
Agent,"Okay got it. Many of them actually. Some are brand new so only have a few residents like Artistry Design District, Emeline Heights, Alta Sunset Heights, and Rye Heights. 
 
 Pearl Rosemont is a really nice building and Highrise. East Bend is nice and across the street from M-K-T shopping mall. And other buildings scattered, many not in the specific neighborhoods you want. I saw you had the 2 bedroom at Vibe med center favorited for right under $2000. If you’re willing to increase budget for a 2 bedroom, Rosslyn garden oaks and Modera garden oaks have two bedrooms for about the same price. Just things to consider!",,,,,
Lead,Good morning! I updated and put hearts on apts I’m interested in!,,,,,
Lead,I think it’s about 9 now. I added the ones you mentioned above.,,,,,
Agent,Sounds good! I’ll get them scheduled,,,,,
Lead,Loved “Sounds good! I’ll get them scheduled ”,,,,,
Agent,Emeline is currently only doing hard hat tours Tuesdays & Thursday 10am-1pm. They’re that new. Let me know if there’s a time that works for you,,,,,
Lead,I can do Tuesday or Thursday at 12:15pm during my lunch break. I would leave work and get there by 12:15pm and then head back to work by 1245pm. My lunch is over at 1pm.,,,,,
Agent,"Okay, I’ll try to get you scheduled for this Thursday",,,,,
Lead,"Liked “Okay, I’ll try to get you scheduled for this Thurs…”",,,,,
Lead,Hey good morning. Can we cancel The Oliver. It’s literally across the street from my job and I don’t want to be that close to my job lol but beautiful place but that’s tooooo close,,,,,
Agent,"Good morning ☀️ yea for sure lol I’ll cancel. 
 
 You’re scheduled for Emeline Heights tomorrow at 12:15pm 👍🏽
 
 All the others are scheduled for Sat and Sun except for one. I’ll send the full schedule when they’re all confirmed!",,,,,
Lead,"Loved “Good morning ☀️ yea for sure lol I’ll cancel. 
 
 Yo…”",,,,,
Lead,Ok!,,,,,
Lead,https://www.tiktok.com/t/ZT2JN7rNf/,,,,,
Lead,Where is this?,,,,,
Agent,That’s Artistry Design District. You’re going there Saturday,,,,,
Lead,Loved “That’s Artistry Design District. You’re going ther…”,,,,,
Lead,Headed there now to Emeline,,,,,
Lead,12min away,,,,,
Agent,Okay perfect. I won’t be there but let me know how it goes!,,,,,
Lead,Ohhh ok. I’ll let you know what I think!,,,,,
Agent,Loved “Ohhh ok. I’ll let you know what I think!”,,,,,
Lead,I think Emeline is nice and I would consider it,,,,,
Agent,Niceee. Starting off on the right foot,,,,,
Lead,Emphasized “Niceee. Starting off on the right foot”,,,,,
Lead,The only thing is I want a garage,,,,,
Agent,You mean like a private 1 car garage?,,,,,
Lead,Yes,,,,,
Lead,You know how some places have garages you can rent out for an extra fee a month,,,,,
Agent,"Yes, truthfully you don’t see those too often in the city, especially with new builds. City apartments are built up so you see stacked garages while apartments on the outskirts are built wide so you see gated parking with those rentable garage options. Is there a specific reason or are you kind of thinking about car security?",,,,,
Lead,I want to park my car in a garage since I just bought a new car and don’t want it all scratched up lol,,,,,
Agent,"Lol I think the best route would be to pay for a designated spot. That’s the option you typically might have with stacked garage parking. Private garages, not so much unfortunately 😕…not in the areas you want to live",,,,,
Lead,Liked “Lol I think the best route would be to pay for a d…”,,,,,
Lead,Is there an area you would suggest living in outside of the areas I said I wanted to that would have a garage?,,,,,
Agent,Check the location of Remy on the Trails and Rowan on the Trails and see if those are too far. That’s like Briarforest area,,,,,
Agent,You also should have some in Spring Branch area,,,,,
Lead,Spring Branch seems like an ok location,,,,,
Lead,You can send over what you find from those areas. I don’t think those areas spring branch or briarforest are too far at all,,,,,
Agent,"Ok, I updated your list. You can see them all by clicking on any apartment from the original email I sent. Here’s what I added…
 
 Remy on the trails 
 Rowan on the trails 
 Alora Bear Creek 
 Avasa spring branch 
 The Westover at West branch 
 
 These all have detached garages. Based on what you want to tour, I’ll just need to make sure they have garages available.",,,,,
Lead,You’re fast!,,,,,
Lead,Love it,,,,,
Lead,"Liked “Ok, I updated your list. You can see them all by c…”",,,,,
Agent,😌,,,,,
Lead,I would like to tour remy on the trails,,,,,
Agent,"Okay, while we’re there do you want to see the studios at Rowan on the trails? Slightly newer and they’re right across the street",,,,,
Lead,Yes since it’s right across the street. Wouldn’t hurt,,,,,
Lead,Thank you for getting all of these scheduled so quickly too,,,,,
Agent,Sounds good. Of course. Remy is scheduled for Sunday I’ll let you know when Rowan is confirmed and send the full weekend schedule after,,,,,
Lead,Ok!,,,,,
Lead,Do you have an apt that has a good view of Houston skyline?,,,,,
Lead,Wishful thinking lol. Wondering if you could send over places that you think would fit that even if it’s not in the areas I requested or doesn’t have a garage of course and isn’t brand new?,,,,,
Lead,Gm too!,,,,,
Agent,"Good morning! Your best options would be Elev8, Pearl Rosemont, Forth at Navigation, Bowen River Oaks, Brava, Drewery place, 1810 Main, the Travis, and Catalyst",,,,,
Agent,They’ll have studios or 1 beds under or around $1700 and are Highrises,,,,,
Lead,"Ok once we look at the apts you have set up for this weekend, I’m sure I’ll like two or three of those for sure but then we can set up these that you just mentioned to tour some high rises and then I’ll be able to make a decision",,,,,
Lead,Can you send over links to these so I can view them?,,,,,
Agent,"For sure, just added them they’re all on your list",,,,,
Lead,Ok I’ll check in a few,,,,,
Lead,Does the Catalyst and the Travis have availability? Asking because it’s not showing any studios or 1 bed available? I would like to tour those as well if they have availability,,,,,
Lead,"Ok so I put stars by Elev8, Fourth at Navigation(which I remembering touring with you but want to see again), and Brava",,,,,
Agent,"Yes they both do. Best price for studio at Catalyst is $1710. Studios at The Travis start at $1550
 
 Sounds good. Do you want to fill in this weekends gaps with these?",,,,,
Lead,"Yes can you get these scheduled too. Elev8, Fourth at Navigation, Brava, The Caralyst, The Travis, Drewery Place, The Rye, and Bowen River Oaks. I wasn’t sure if those were on the list of tours because I didn’t see those on the list under tours",,,,,
Lead,Not sure if you can do them all in one weekend but I know once I look at the other places I would only have like the 48-72 hour window to get the specials right which is why I don’t mind touring all of them in one weekend if that’s even possible or realistic lol 😩,,,,,
Agent,"Nah you’ll get the specials lol. They just say that but whatever we decide, I’ll have the apt verify you’ll get the special via email before you apply. It might be best to leave most of these to next weekend",,,,,
Lead,Loved “Nah you’ll get the specials lol. They just say tha…”,,,,,
Lead,Ohhh ok. That’s way better than to leave the rest for next weekend!,,,,,
Lead,That would have been too many to view and overwhelming lol,,,,,
Agent,Loved “Ohhh ok. That’s way better than to leave the rest for next weekend!”,,,,,
Agent,Lol I agree,,,,,
Lead,Im getting excited. Hopeful that my new place will be one of these that we tour this weekend/next weekend 🤞🏽🙏🏽,,,,,
Agent,I’m excited too! I think it will be!,,,,,
Lead,I never got the schedule,,,,,
Lead,Did you email it?,,,,,
Agent,"Sorry! Long day. Here it goes…
 
 Saturday, January 18 
 10 AM - Rosslyn at Garden Oaks 
 11 AM - Rye Heights
 1 PM - Alta Sunset Heights 
 3 PM – Pearl Rosemont 
 4 PM – Artistry Design District 
 
 Sunday, January 19 
 1 PM – Rowan on the trails 
 2 PM - Remy on the trails 
 3 PM – Vibe Med center 
 
 There’s one that wasn’t confirmed, Foundry on 19th and I honestly don’t even recommend we see those. They were built 2020 and starting in the $1700’s, more than mostly all of these newer buildings",,,,,
Lead,"Loved “Sorry! Long day. Here it goes…
 
 Saturday, January …”",,,,,
Lead,Ok we don’t have to see that one then. See you tomorrow @10am,,,,,
Agent,Liked “Ok we don’t have to see that one then. See you tomorrow @10am”,,,,,
Agent,See you tomorrow!,,,,,
Agent,Be there in like five minutes,,,,,
Lead,Perfect. Ok I’m here. I’ll wait for you.,,,,,
Agent,Ok,,,,,
Lead,Heyyy. Soo so far I like The Rye and The Artistry Design District.,,,,,
Agent,"Nicee. Okay cool, you’ll have a tough decision once we’re done touring",,,,,
Lead,"Emphasized “Nicee. Okay cool, you’ll have a tough decision onc…”",,,,,
Agent,"Hey good morning☀️ You’re going to be solo today. But let me know along the way if you have ANY questions. 
 
 Here are the floor plans you might be most interested in at each apt. 
 
 Rowan on the trails - S2, S3
 Remi on the trails - S1, A2, A2A
 Vibe Medical Center - A2, A2A",,,,,
Lead,Ok no problem! I’ll let you know which ones I like!,,,,,
Agent,Sounds perfect!,,,,,
Lead,Hey I went to the vibe med center but it’s closed on Sunday,,,,,
Lead,"But after driving the area there, I wouldn’t want to live over there",,,,,
Lead,But I liked Rowan on the trails today,,,,,
Lead,"Can you get these scheduled for next weekend? Elev8, Fourth at Navigation, Brava, The Catalyst, The Travis, Drewery Place, and Bowen River Oaks.",,,,,
Agent,"Wow, I’m so sorry. Idk why they let me schedule that tour. 
 
 Okay, yea for sure I’ll have them scheduled 👌🏽",,,,,
Lead,Ok no problem and thank you!,,,,,
Agent,My pleasure,,,,,
Lead,Hey good morning. My job is trying to get us to come into work Saturday instead since we’ll be closed tomorrow because of the weather. They are thinking 9am-2pm. I can tell them 9-12pm instead for me if you think it’ll be better as far as being able to look those apts starting like 1230 and on instead of 230 and on. What do you think?,,,,,
Agent,Good morning. Yes let’s try to start at 12:30. We’ll be able to get to more,,,,,
Lead,Ok I’ll tell them I can work from 9-12,,,,,
Agent,Okay sounds good. I’ll let you know the schedule soon,,,,,
Lead,Ok!,,,,,
Agent,"Hey, Bowen River Oaks is fully booked this weekend. Would you want to go on your lunch break this Thursday, say 12:30?",,,,,
Lead,Could you book it for Friday anytime after 3pm? I’m off early on Fridays. Going on my lunch break on Thursday might be pushing it and I’ll be late back from lunch.,,,,,
Agent,There’s only 11:30-12:30 Friday. There’s times available up to 5pm next week and next week Friday too,,,,,
Lead,Do they have 12:15 on Thursday?,,,,,
Lead,Or even 12pm and I could leave work by 11:45-11:50,,,,,
Agent,There’s a 12 pm Thursday,,,,,
Lead,Ok I’ll do that one.,,,,,
Agent,Okay 👍🏼,,,,,
Lead,Thank you!,,,,,
Agent,Of course!,,,,,
Agent,"Hey, here’s your upcoming schedule. Let me know if you have any questions!
 
 Thursday, January 23 
 12 PM – Bowen River Oaks 
 
 Saturday, January 25 
 12:30 PM – Elev8
 1 PM – Catalyst 
 2 PM – Brava
 3 PM – the Travis 
 
 Sunday, January 26
 1 PM - Drewery Place 
 3 PM – Forth at navigation",,,,,
Lead,Ok!,,,,,
Lead,https://www.tiktok.com/t/ZT28mY5JY/,,,,,
Lead,Where are these? I’m just curious lol. They always show the highest priced one,,,,,
Agent,Those are The rice lofts,,,,,
Lead,Ohhh ok. Yea not living there lol,,,,,
Agent,Lol yeaa 👎🏽,,,,,
Lead,That area is dirty lol,,,,,
Lead,Emphasized “Lol yeaa 👎🏽”,,,,,
Lead,https://www.tiktok.com/t/ZT28mkd1n/,,,,,
Lead,Where is this?,,,,,
Agent,That’s Aspire post oak,,,,,
Lead,Expensive?,,,,,
Agent,They start at like $2400 right now,,,,,
Lead,😩😅,,,,,
Lead,Yep not for me then,,,,,
Agent,"Yea, you got some really nice options to choose from though! 👌🏽",,,,,
Lead,I know. I know one of them has to be the one,,,,,
Agent,Emphasized “I know. I know one of them has to be the one ”,,,,,
Agent,Good luck touring Bowen! The floor plans within budget are S2.1 & S3T. Both studios,,,,,
Lead,Ok. I’ll let you know what I think,,,,,
Agent,Loved “Ok. I’ll let you know what I think”,,,,,
Lead,,Audio Message.m4a,,,,
Agent,Okay 😕 let me know when is best to reschedule. If you want to do a weekend we can schedule for next weekend,,,,,
Lead,What time do they stop doing tours during the week?,,,,,
Agent,Last tour is 5pm during the week,,,,,
Lead,Do they have anything for tomorrow? I’m off work at 3pm,,,,,
Agent,"No, I’m sorry. They’re booked until Tuesday",,,,,
Lead,Ohh you did say that. Next Friday anytime after 3pm,,,,,
Lead,Or next weekend,,,,,
Agent,"Okay, scheduled for Friday, Jan 31st @4pm",,,,,
Lead,Ok thank you,,,,,
Agent,Of course,,,,,
Lead,So far I’m in love with Elev8,,,,,
Lead,Heading to the last two and I’ll let you know what I think,,,,,
Agent,Loved “So far I’m in love with Elev8”,,,,,
Agent,Sounds good!,,,,,
Lead,"So far I’m liking Artistry Design District, The Rye, and Elev8",,,,,
Lead,Rowan on the Trails is cool too,,,,,
Agent,Okay perfect. Sorry for the late text. We just have Bowen left. Those are some really good options to choose between,,,,,
Lead,Loved “Okay perfect. Sorry for the late text. We just have Bowen left. Those are some really good options to choose between”,,,,,
Lead,I agree!,,,,,
Agent,Loved “I agree!”,,,,,
Lead,"I think I’m going to do the application for Elev8 tommorow or by Monday just to make sure I don’t lose it 😩 On top of the 4-6weeks free, she also added on a $500 gift card ☺️ that was the icing on the cake being that I was already in love with it.",,,,,
Lead,But I’m going to look at the apts tomorrow that are scheduled and Bowen on Friday still.,,,,,
Agent,"Oh right, I completely blanked. I forgot you have Drewery Place and Forth at Navigation tomorrow. Which floor plan are you going after at Elev8?",,,,,
Lead,"It was a studio and then I’m looking at the 1bedroom. I looked at so many so far, I can’t remember which floor plan but I’ll send the video. I have the sheet in my car and can send it to you tomorrow.",,,,,
Lead,,IMG_4262.mov,,,,
Lead,,IMG_4264.mov,,,,
Lead,,IMG_4266.MOV,,,,
Lead,�,,,,,
Lead,The apt numbers are 516 or 1406,,,,,
Agent,"Depends on if you want the true studio or the studio with separate bedroom. 1406 is an S3 (separate room). There are 2 available, same price. 
 516 is an S2, and one room without the separation. Only one of these at the price point so applying wouldn’t be a bad idea. How sure are you that Elev8 is what you want?",,,,,
Agent,Let me know how everything went when you get a chance,,,,,
Lead,"Heyy ok. Everything went good today.
 I still am liking Elev8 the most",,,,,
Lead,After would be Artistry Design District,,,,,
Lead,Is there anything else you would want me to look at besides Bowen on Friday or is that everything you would have to show?,,,,,
Agent,"Okay perfect. No, Bowen would be the last. I think we’ve seen the best. And I don’t think Bowen compares to Elev8 at all, being honest. Now that you’ve seen those today I’d even say you can make a decision and still see Bowen to see it but I’m 99.9% sure they won’t be your choice",,,,,
Lead,"Loved “Okay perfect. No, Bowen would be the last. I think we’ve seen the best. And I don’t think Bowen compares to Elev8 at all, being honest. Now that you’ve seen those today I’d even say you can make a decision and still see Bowen to see it but I’m 99.9% sure they won’t be your choice”",,,,,
Lead,Im going to go with Elev8 or Artistry Design District. I’ll look over everything with them and decide. I’ll still look at Bowen but I agree I’m not gonna like it better than those two.,,,,,
Agent,Loved “Im going to go with Elev8 or Artistry Design District. I’ll look over everything with them and decide. I’ll still look at Bowen but I agree I’m not gonna like it better than those two.”,,,,,
Agent,"Okay sounds perfect. I’ll be here if you have any questions. And if you start the app, please make sure to look out for the referral section. It’s usually just one question that’s easy to overlook",,,,,
Lead,Ok. I’m definitely putting you down for the referral,,,,,
Agent,Reacted 🫶🏼 to “Ok. I’m definitely putting you down for the referral”,,,,,
Agent,Thanks!,,,,,
Agent,Let me know what I can do!,,,,,
Lead,No thank you for finding them for me.,,,,,
Lead,Will do!,,,,,
Agent,Loved “No thank you for finding them for me.”,,,,,
Agent,Loved “Will do!”,,,,,
Agent,Hey! Just making sure everything’s all good with you. Did you make your final decision yet?,,,,,
Lead,"I did the application for Elev8. I got approved today. They said once I move in that I then fill out the referral card and put your name on it. The agent there Melanie said that she is making sure your name is on there. I’m going to consider
 Artistry too. Gonna look at there bigger one bedroom again. The one that’s 1000sq ft.",,,,,
Agent,"Loved “I did the application for Elev8. I got approved today. They said once I move in that I then fill out the referral card and put your name on it. The agent there Melanie said that she is making sure your name is on there. I’m going to consider
 Artistry too. Gonna look at there bigger one bedroom again. The one that’s 1000sq ft.”",,,,,
Agent,"Okay, sounds perfect. Congrats on the first approval! If I can help at all just reach out",,,,,
Lead,Ok I will!,,,,,
Agent,Loved “Ok I will!”,,,,,
Agent,Hey Ifueko! Just wanted to check in on you. Everything all good and finalized?,,,,,
Lead,Heyyy. She sent over the lease for Elev8. I’ll be signing it later tonight. Move in date 3/31.,,,,,
Agent,"Sounds perfect! When you’re able, please send this info from your lease😌
 
 Unit #
 Base rent amount
 Specials received
 Lease term",,,,,
Lead,Ok,,,,,
Agent,"Heyy, can you send over that info when you get a chance? Everything all good with the lease, etc otherwise?",,,,,
Lead,"Hey sorry for the delay. 
 
 Unit number 1406
 2,050.28
 6 weeks free
 13 month lease term",,,,,
Agent,No worries! Thank you,,,,,
Lead,You’re welcome!,,,,,
Agent,Loved “You’re welcome!”,,,,,
Lead,Heyyy it's Ifueko. How are you and hope all is well? I gave a friend your contact info for help with finding her a new place whenever shes ready to start looking.,,,,,
Agent,"Hey Ifueko, all is well thanks for asking. Okay sounds good thanks. How’s everything at Elev8?",,,,,
Lead,"Loved “Hey Ifueko, all is well thanks for asking. Okay sounds good thanks. How’s everything at Elev8?”",,,,,
Lead,I'm actually loving it. Glad I moved here. So thank you with helping me find it ✨,,,,,
Lead,Are you still with AptAmigo?,,,,,
Lead,My friends name is Jasmine Salter.,,,,,
Agent,"That’s great to hear! Of course, I’m glad I could help",,,,,
Agent,"Yes I am. I saw Jasmine’s form too, I’ll hit her up in a minute",,,,,
Agent,"You know you can always reach out for help/questions/issues you’re having, if ever, so definitely never hesitate if there’s anything I can do while you’re there",,,,,
Lead,"Loved “That’s great to hear! Of course, I’m glad I could help ”",,,,,
Lead,"Liked “Yes I am. I saw Jasmine’s form too, I’ll hit her up in a minute”",,,,,
Lead,"Loved “You know you can always reach out for help/questions/issues you’re having, if ever, so definitely never hesitate if there’s anything I can do while you’re there ”",,,,,
Lead,Thanks and will if so for sure.,,,,,
Agent,Loved “Thanks and will if so for sure. ”,,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Victoria, it’s Ashanti from IG. I’d be happy to help with your apartment search. 
 
 With you looking for a house soon will you be looking to sign a standard 12-15 month lease? That’s where best prices will always be",,,,,
Lead,"Hey Ashanti, yes I’m interested in a 12 month lease unfortunately I may have to pause my house hunt until then but that’s ok",,,,,
Agent,Got you. What areas are you open to living in?,,,,,
Lead,I’m currently on buffalo speedway near nrg. I like being close to downtown but don’t have to necessarily be there,,,,,
Lead,Within 20 minutes of the loop,,,,,
Lead,"And safe, I’m still new to the area. I’m from ca and most things are walking distance so that would be nice as well so probably close to downtown lol",,,,,
Lead,My budget is 1500,,,,,
Lead,I’m flexible if I like it,,,,,
Agent,Liked “I’m currently on buffalo speedway near nrg. I like…”,,,,,
Agent,"Laughed at “And safe, I’m still new to the area. I’m from ca a…”",,,,,
Agent,Liked “My budget is 1500”,,,,,
Agent,"Lol okay cool. Anything particular that’s mandatory for you? Balcony, certain amenities, square feet, etc?",,,,,
Lead,The place I sent you on IG looks cool if that helps lol,,,,,
Lead,"Dog friendly, hardwood floors, a view would be nice, gym /great amenities",,,,,
Lead,Safe lol,,,,,
Agent,Lol got it. How soon can you tour?,,,,,
Lead,This weekend,,,,,
Agent,"Okay, and while I search how flexible do you want me to make your budget? Whats the most you’d feel comfortable paying?",,,,,
Lead,Maybe 200 but i don’t know it has to have everything,,,,,
Lead,Oh and in unit washer and dryer is a must too,,,,,
Agent,$2k or $200 more than $1500?,,,,,
Agent,Everything I send with definitely have washer/dryer in unit,,,,,
