Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Lead,"I could probably look at one more, I did like the proximity the Caroline was from the city and work, but it was kinda out the way from grocery stores and frequently traveled places ",,,,,
Lead,It’s right by here ,,,,,
Lead,Enclave at Mason Creek,,,,,
Agent,"There’s a brand new apartment called Memorial at Six that’s like a mile from Caroline that would be worth a look. There’s also San Estrella. 

And then closer to Katy there’s:
- Lenox Katy Creek
- Resia Ten Oaks

You also have Remy on the Trails which you mentioned you had a friend that lives there. They have a unit at $1598 but nothing showing right now for late July",,,,,
Lead,"Does this apt look like one you’ve seen before?

*Lead sends link to TikTok post",,,Escalate to human,,
Agent,Those are Lenox Katy Creek,,,,,
Agent,"It’s a stretch to say “only 20 mins from downtown”, sorry. But about 27 mins with absolutely no traffic. Care to see them, or is it still too far from the city for you? ",,,,,Referencing the Tiktok video saying that the apartment is only 20 minutes from downtown
Lead,The lies lol and no it is kind of far ,,,,,
Agent,"Lol precisely. Okay. How about The Briarly? They’re brand new just outside of uptown under $1600

thebriarly.com",,,,"May 21, 2025",
Agent,"Hey Vanessa, any thoughts on The Briarly? Would location work for you?",,,,"May 22, 2025",
Lead,Hey sorry for the delay. I didn’t really like that one. I’m looking at the commute time now and it would be pretty long ,,,,,
Agent,"No problem. Okay, there should be more 60 day notices submitted over the next few days so I’ll keep my eyes open and let you know what pops up. The couple right now I could recommend are San Estrella and Remy on the trails. I know you mentioned your friend living at Remy, any interest in them?",,,,,Most apartments require a 60 day notice to be submitted by current renters. When notice is submitted is when an apartment goes back on the market for all to see.
Lead,"No, the thing is they’re all small in comparison to my current place for the same price. So I’m not  seeing anything that’s worth the move ",,,,,
Agent,"Okay, what apt is it that you’re at now if you don’t mind me asking?",,,,,Knowing where she lives gives more context into what she likes
Lead,Lenox grand west,,,,,Great info for human to know who is runniing searches for lead. Will help with next search and probably need to know this info asap
Lead,I have both the standing shower and tub and it’s pretty spacious so it’s hard to find something that gives me the desire to compromise,,,,,
Agent,Got it. Understood. When I come across anything comparable closer to the city I’ll send it your way,,,,,
Lead,Thanks I appreciate it,,,,,
Agent,Happy to help,,,,,
Agent,"Hey Vanessa, just wanted to reach out and update you. I was hoping to find something in the area you want, not much has been built in the last few years unfortunately. Have you already decided to renew?",,,,,
Lead,Hey yeah I put my search on hold I wasn’t seeing anything worth packing up and moving for either. So I haven’t put in my renewal yet but I plan to. Do you know any tips for negotiating a renewal offer or are they usually set in stone?,,,,,Lead asks for specific apartment related tips on negotiation. Escalate to a human
Agent,*Sent voice message,,,,,
Lead,Cool thanks! I’ll try that out and let you know how it goes. I appreciate all your help again ,,,,,
Agent,"Of course! Sounds good, I’m happy to help!",,,,,
,,,,,,
,,,,,,
Agent,"Hey Lillian, it’s Ashanti from IG! Just so I send options for the right move dates, when exactly do you need to be moved in by?",,,,,I have received some qualifying info already on instagram
Lead,"Hi Ashanti, There's no specific dates I need to be moved in by but I was hoping for end of May, or mid June.",,,,,
Agent,"Okay got it. And for areas in Richmond or Sugarland, is there any address in particular you’re looking to stay close to? ",,,,,
Lead,I'm hoping to stay within 20-30 minutes of Rosenberg ,,,,,
Agent,"Got it, are there any other details you’d like to share that you want/need? Specific amenities, pet friendly, etc?",,,,,
Lead,"Pet friendly, and I would like there to be a pool, it's not a necessity though.",,,,,
Agent,"Okay, no problem. Are there any requirements you see here that could possibly prevent you from being approved? 

https://docs.google.com/document/d/1aYe81pQDDpU7yHkrjVp4bzokCnSzDxEFSOjnGwws_7Q/edit?usp=sharing",,,,,Google doc is sent as a photo
Lead,"So I am going to be purchasing with no credit, because I am 18. Which in my area isn't that bad as long as you can prove you make three times the rent amount. But that is the only one that I think would slow the process.",,,,,
Agent,"Got it, thanks for the info. And just to confirm, you’re looking for a studio under $2k? I’d be sending 1 bedrooms as well if that’s okay",,,,,
Lead,"That's good, thank you so much for your help I really appreciate it!!",,,,,
Agent,Pleasure is all mine! ,,,,,
Agent,What email can I send your option to?,,,,,
Lead,lilliskro@gmail.com,,,Lead needs list,,
Agent,"Just emailed your list
 
Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,List sent ,,
Lead,Okay I'll be sure to let you know by Thursday evening I have a very packed schedule for the next day and a half.,,,,,
Agent,"That sounds perfect, I'll talk to you by Thursday!",,,,,
Lead,Okay!,,,,,
Lead,"I'm not sure if the website is just slow, but if I select a favorite can you see it?",,,,,
Lead,I've been starring some but its so slow.,,,,,She is referring to favoriting apartments on our internal portal
Agent,"Yes, I can see it on my end. Sorry, it’s been acting a little slow for me too. I’ll let the tech team know",,,,,
Lead,You're good! I'll make sure everything is finalized by tomorrow!,,,,,
Agent,Sounds good!,,,,,
Lead,Okay I starred everything I could but the website was being real slow!,,,,,
Agent,"Okay, I only got Granary Flats, Territory at Williams Way, and Wildwood. Is that right?",,,,,
Lead,Yes!!,,,,,
Agent,"Okay great! Can I make a few suggestions that will be similar priced or cheaper and even newer than some of the options you chose? 

The Ryon, West end, and Silos Harvest Green are all a similar distance to Rosenberg. All $1400’s or less and running specials of up to 3 months free + no application or admin fee and no deposit with approved credit (The Ryon in particular). 

Just my suggestion to add these since you’ll already be in the area. Totally up to you!",,,,,
Lead,Oh I thought I did Silos harvest!,,,,,
Lead,And the west end is nice as well!,,,,,
Agent,No worries! I just added those two. I can add The Ryon as well. Not sure how you feel about size but they have a 930 square-foot unit in the $1400s.,,,,,
Lead,Hmm I'm not sure about that one. But thank you!,,,,,
Lead,I just rechecked the Wildwood as well.,,,,,
Agent,"Okay, no worries! I’ll get the 5 scheduled 

Granary Flats
Territory at Williams Way
Wildwood
Silos harvest
West end

Will Saturday work best for you to tour?",,,,,
Lead, I'm working the weekend ,,,,,
Lead,Can we do sometime next week?,,,,,
Agent,Sure thing. What day is best?,,,,,
Lead,Let me check,,,,,
Lead,"It might take me a second, I'm  scheduled weirdly for the next week and a half and I'm also going through the process of purchasing a new car.",,,,,
Lead,Let me get  back to you ,,,,,
Agent,"Okay, no worries. Let me know when you’ve decided and I’ll get you scheduled! ",,,,,
Lead,Will do!,,,,,
Lead,So how does Thursday sound? I was wondering if we could focus on the apartments located in Rosenberg at first. If that's possible.,,,,,
Agent,"That's perfect. And no problem. All 5 Thursday, starting will all the Rosenberg properties?",,,,,
Lead,Give me one second to verify everything ,,,,,
Lead,"Yes yes, Thursday to do all the Rosenberg properties if that's alright and then see where we are midday ",,,,,
Agent,"Okay, I’ll follow up with the full schedule early in the week!",,,Time to schedule tours,,
Lead,Okay thank you!,,,,,
Agent,Pleasure is mine!,,,,,
Lead,These appointments are for the ones located in Rosenberg right ,,,,,
Agent,"All 5 will be Thursday. The ones located in Rosenberg will be first (West End, Wildwood, Territory at Williams Way). That’s good right?",,,,,
Lead,What time was the very first one?,,,,,
Agent,It’ll be at 10am,,,,,
Lead,Okay,,,,,
Lead,At which location?,,,,,
Agent,"Here’s the full schedule:

Thursday, May 22 
10 AM - Territory at Williams Way 
11 AM – the Wildwood
12 PM – West End 
1 PM – Silos harvest green
2 PM – Granery Flats 

10am at Territory hasn’t been confirmed yet. All the others have 👍🏼",,,,,
Lead,Do I owe you money straight after the tours or do you only get the funds when I purchase?,,,,,
Agent,"Oh no no, you don’t pay anything. It’s 100% free to work with me. I’m paid a referral fee from whatever apartment you choose for sending them a qualified renter ",,,,,
Lead,Okay thank you! I kind of forgot and just wanted to reclarify!,,,,,
Agent,Of course!,,,,,
Lead,I got here like 5 minutes early ,,,,,
Agent,"GM! Okay great! I’ll be here to help anyway I can so If you need anything at all or have questions please don’t hesitate to call/text/voice message me. Good luck touring, I know we’ll find the one 🤞🏼 I can’t wait to hear how everything goes!",,,,,
Lead,I think so far I like the first two apartments compared to the third one. The I forget what it's called I want to call it the gray area but I don't think that's what it is gray garden something it's a bit out of my price range but I like it I mean it's real nice.,,,,,
Lead,Sorry I'm voice texting but the first one was my personal favorite and then they offered to waive the application fees if I signed within the next two days I don't know if you'd agree with that?,,,,,
Agent,"Sounds good! Okay, no worries. I’m not sure which you’re referring too that’s out of price range…

Yes, definitely all for them waiving the application fees! The apartment working with me doesn’t affect the deal you receive at all. Getting those fees waived are perfect ",,,,,
Lead,West end I don't know what I was talking about gray gardens that's my bad,,,,,
Agent,"Okay, no worries. They shouldn’t be out of range though. Just to clarify, what’s your range and amount of bedrooms/space again?",,,,,
Lead,"It was 1300-1400, 1bed at 640-720sqf",,,,,
Lead,West end was approaching 1400-1500,,,,,
Agent,* send screenshot of her Instagram message saying that she wanted to be under $2000 preferably,,,,,
Agent,"Wow I’m so sorry, I was going off of our initial IG messages. ",,,,,
Agent,"Can I suggest one more? 
The Ryon - 1 bed | 709 sqft | $1200

livetheryonapts.com",,,,,
Lead,no  you're fine. That's my fault for not being more specific ,,,,,
Agent,That’s okay. Take a look at the Ryon website and let me know if you’d like to stop by,,,,,
Lead,Okay,,,,,
Agent,"West End has a 640 sqft unit for $1324 too, available June 29",,,,,
Lead,Yes I saw that one today ,,,,,
Lead,She was showing me similar models,,,,,
Lead,And I think I saw one that was 840 sqf,,,,,
Agent,Okay. Silos harvest green will be on the higher end. Lowest price is $1380,,,,,
Agent,Let me know your final thoughts when you finish up,,,,,
Lead,I don't want to tour any other apartments today I have a shift later to work. Thank you for your help but I'll get back to you on the ryon a different day,,,,,
Agent,That’s no problem. Pleasure is all mine. Let me know how you plan to move along and if you want to take advantage of the waived application fees at Territory at Williams way in the next two days. I’ll be here if you need anything ,,,,,
Lead,Can we go ahead with the application for the territory ,,,,,
Agent,"Sure thing, I think it would be unit #9308 you’re interested in for $1335. 630 sqft, that sound right?",,,,,
Lead,Sounds about right yes,,,,,
Agent,"Okay, you can find it using this link",,,,,
Agent,https://www.territorywilliamsway.com/models?utm_knock=gppc&gad_source=1&gad_campaignid=20677889996,,,,,
Agent,If you have any questions at all don’t hesitate to ask. And please look out for the referral section at the beginning of the application and choose “Locator”. Thats how they will take care of me and allow me to step in on your behalf throughout the application process.,,,,"May 26, 2025",
Agent,Ok,,,,,
Agent,"Hey Lilli, wanted to make sure you’re all set. Were you able to apply with no problem?",,,,"May 28, 2025",
Agent,"Hey Lilli, follow up to make sure you’re all set. Everything moving along smoothly with Territory?",,,,June 2,
Lead,Hi I am so sorry everything has been delayed a bit due to some personal stuff. Let me get back to you!!,,,,,
Agent,"No worries, I hope everything is okay. Please do! ",,,,June 3,
Agent,"Hey Lilli, wanted to reach out to help any way I can. Is everything still on hold for now?",,,,June 13,
Lead,As of right now I apologize but yes everything is on hold. ,,,,,
Lead,Thank you for checking in on me 🙏🏻,,,,,
Agent,"No need to apologize. Okay, sounds good, I’ll be here when you’re ready!",,,,,
Agent,And of course!,,,,,
Lead,Thank you!,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Hey Janay, it’s Ashanti from IG! So sorry for the delayed message, I picked up the flu and had to shut it down for a few days. 

Just so I send options for the right move dates, when exactly do you need to be moved in by?",,,,,
Lead,"Hi, I hope you are feeling much better! I need to be at least moved in by the 23rd or I can extend it to the 30th",,,,,
Agent,"Thank you! I definitely am. Got it, will you be attending or working at San Jacinto College, the reason you’d prefer to be in 77089?",,,,,
Lead,You're welcome. Working. ,,,,,
Lead,I won't be attending or working at the college. ,,,,,
Lead,I preferably liked that apartment you posted and the specific amount ,,,,,
Agent,"Okay, those apartments are called The Rosemary and best price on the 2 bedroom now will be $1389 with the special self-prorated. We can definitely schedule a tour with them if you like. 

Just so I’m clear on area. Are you wanting to be close to 77089 for work and open to Humble if you don’t see what you want in that zip code?",,,,,
Lead,"Okay, great! That price definitely works. And yes, to being close to the 77089 zip code, but I am open to the Humble location for those particular apartments. ",,,,,
Agent,"Okay, got it! And price at $1500 is that flexible at all or do you need that to be your strict max?",,,,,
Lead,$1500 is fine. ,,,,,
Agent,"Okay, some 2 bedrooms in that price range will be income restricted. What is your gross monthly income and estimated credit score?",,,,,
Lead,"Okay, that's fine. $3,250 every other week. Credit score 702. ",,,,,I ask this question when qualifying to know how much a lead can be qualified for
Lead,My apologies for the delay. ,,,,,
Agent,"Good morning, okay great. What email can I send options to?",,,,,
Lead,janayfisher7@gmail.com,,,Time to send list,,
Agent,"Perfect, thanks! I just emailed your list
 
Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽

You’ll notice some options slightly above $1500. You make too much to qualify for low income housing soon don’t add them but most options i sent are running specials that will bring rent under $1500

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,List sent,,
Lead,Sounds great!!! Thank you so much for all your help. I will definitely be in contact with you as soon as I review the list that you sent. Thank you again. ,,,,,
Agent,The pleasure is all mine! Sounds perfect ,,,,,
Agent,"Hey Janay, no rush but were you planning on getting tours scheduled for this weekend?",,,,,
Lead,"Hi Ashanti, not this weekend. I'm working all weekend. ",,,,,
Lead,"If I find another apartment that's not on your list, can I still put you down for a referral? ",,,,,
Agent,"Okay no worries. Yes, please do. You’d still get your $200 rebate of course. Ideally let me know what building before you tour so I can send your guest card before hand to ensure I receive credit for us working together.",,,,,
Lead,"Okay, great, I will keep you updated. I will look at the list tonight. I've been busy with work. ",,,,,
Agent,"Okay, sounds great. No worries ",,,,,
Lead,Awesome ,,,,,
Lead,"Hi, I know which apartment I want. ",,,,,
Lead,*Lead sends Screenshot of apartment name,,,,,
Agent,"Good morning. I believe you make too much money to qualify for that unit. You must make between $39,120-42,480 per year if you’ll be the only person in the household to qualify",,,,,"That particular apartment unit is ""income restricted"""
Agent,"They have another one. Their B2 floorplan , 2bed/2bath - 1180 square feet, that is $1460 that you would qualify for. Would that work?",,,,,
Lead,"Hi, that's a decrease in the floor plan and the price is higher... why is that? ",,,,,
Agent,"Good morning, that’s because that floor plan is an essential housing floor plan and is income restricted. It’s part of a city program for people with lower income that you don’t qualify for because your income is too high",,,,,
Lead,"Okay, i understand ",,,,,
Agent,Do you want to schedule a tour for The Henry?,,,,,
Lead,Yes,,,,,
Lead,Wednesday ,,,,,
Agent,Okay. I’ll let you know when it’s confirmed,,,Time to schedule tour,,
Lead,Thank you ,,,,,
Agent,Happy to help!,,,,,
Agent,"Good afternoon Janay, your tour at The Henry at Liberty Hills is Wednesday at 10am. 

You’re most interested in the B2 floor plan, unit #2308. Let me know if you have any questions!",,,,,
Lead,Awesome! Will do,,,,,
Lead,"Hi, can you reschedule my tour for tomorrow ",,,,,
Agent,Morning or afternoon?,,,,,
Lead,Morning,,,Need to reschedule tour,,
Agent,Okay 👍🏼 ,,,,,
Agent,All set for tomorrow at 10am,,,,,
Lead,Awesome! Thank you so much! ,,,,,
Agent,Pleasure is all mine!,,,,,
,Good morning ☀️good luck touring today! If you need anything at all or have questions please don’t hesitate to call/text/voice message me. Can’t wait to hear how it goes!,,,,,
Lead,"Hi, I didn't get to make my tour the other day. I had a family emergency. I'm just getting back. ",,,,,
Agent,"Okay, I’m sorry I hope everything is okay. When would you like to reschedule for?",,,,,
Lead,Everything is okay for now. Thank you for your concern. Let me check my schedule ,,,,,
Agent,Okay good. Of course. Sounds good,,,,,
Lead,👍,,,,,
Agent,"Hey Janay, have you decided on an apartment already or still need to tour?",,,,,
Lead,"Hi Ashanti, I'm waiting on my SSC, I had to order another one. ",,,,,
Agent,Okay no problem. Let me know when you’re ready to get going again,,,,,
Lead,"Okay, will do",,,,,
Lead,"Hi, is there any way I can use my digital copy? ",,,,,
Agent,"Hey Janay, I'm so sorry. Not sure how this slipped by me. Are you all set or still looking?",,,,,
Lead,"Hi Ashanti, im still looking but I only have my digital social",,,,,
Agent,"Okay, do you have your Drivers license or are you waiting on that too? ",,,,,
Lead,I have my DL,,,,,
Agent,You’d be good to tour then. Prices have changed since we were first looking though. What’s your max price and number of bedrooms you need?,,,,,
Lead,"Hi, I'm really not trying to go over 1200 a month. A 1 bedroom would be fine. My job has recently changed ",,,,,
Agent,Okay got it. I’ll send some options tonight and we’ll start getting you set up for some tours 👍🏼,,,Time to schedule tours,,
Lead,Okay,,,,,
Agent,Did you want to be close to your new job? What location is ideal?,,,,,
Lead,The henry apartments can still be an option. ,,,,,
Agent,You’ll have better options under $1200 if you want a few different choices,,,,,
Lead,"Okay, that will be great ",,,,,
Agent,What area is close to work?,,,,,
Lead,I work in humble and also in the 77089 area ,,,,,
Agent,"Okay. Best options would be Grove east, The Henry at lake Houston and the Henry at liberty hills",,,,,
Lead,Okay,,,,,
Lead,I would have to look those up,,,,,
Agent,Okay,,,,,
Lead,Okay,,,,,
Lead,Thank you,,,,,
Agent,Of course ,,,,,
Lead,😊,,,,,
Agent,"Hey Janay, did you want to get scheduled for Grove East and The Henry?",,,,,
Agent,"Good afternoon Janay, sorry I know things get busy quickly. Any thoughts on when you’d like to tour?",,,,,
Lead,"Hi Ashanti, things been crazy on my end. Where are these located?",,,,,
Agent,"Understood, no worries. Grove east is in Humble and The Henry at liberty hills is close to Humble but a little south east of it. ",,,,,
Agent,I’d definitely recommend seeing grove east as soon as possible. They have two 1 bedroom units at $1138 that I think would work perfectly. I’d want you to tour before someone applies,,,,,
Lead,"Okay, my schedule has changed and will an offer letter work to apply since I've started a new job? ",,,,,
Agent,"Okay, yes an offer letter should be fine",,,,,
Agent,What day will work best for you to tour?,,,,,
Lead,Great,,,,,
Lead,Let me check my schedule ,,,,,
Agent,Okay,,,,,
Agent,"Hey Janay, checking in quick. What day did you find works best?",,,,,
Agent,"Good morning Janay, I wanted to make sure you're all set with your apartment search. Have you already decided on a place?",,,,,
Agent,"Hi Janay, just checking in!
I wanted to follow up and see if you’ve already found a place or if you’re still needing help with your search. No rush at all—I know things can get hectic, so just let me know whenever you're ready to pick things back up!",,,,,
Lead,"Hi Ashanti, I will definitely be in touch. I might switch locations, but I will let you know for sure next week. Fingers crossed, I can get something going soon! Thank you again for all your help!!!!",,,,,
Agent,Good morning! That sounds good. Crossing my fingers for you 🤞🏼 The pleasure is all mine!! I'll be here if you need!,,,,,
Lead,Awwwww!!! Thank you so much. You are a sweetheart ❤️,,,,,
Agent,Happy to help 😌,,,,,I did not follow up efficiently after this point 
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Alayna, it's Ashanti with AptAmigo. Save this number instead",,,,,Had a previous conversation with lead
Lead,okay,,,,,
Lead,"hey ashanti, when should i start applying for the apartments ?",,,,,
Agent,"Hey Alayna, so you’re scheduled to visit Houston July 1st and looking to move in around Aug 1st right?",,,,,
Lead,yes,,,,,
Agent,Okay were you wanting to see apartments before applying? Or make a decision to apply based on virtual tours then see the apartment you applied to?,,,,,
Lead,will applying to more than 1 effect my credit ?,,,,,
Agent,Potentially. Most are a hard pull that can affect your score just a few points for each application. Best practice is to search and apply to your favorite one (just one). App + admin fees can be a couple hundred dollars too so I don’t suggest doing multiple application because you’d have to pay each application fee,,,,,
Lead,okay then i would rather apply after seeing them in person,,,,,
Agent,Okay sounds good. Before you come I'll get you all your best options and you’ll have a full tour schedule already laid out for you 👍🏽,,,,,
Lead,great thank you!,,,,,
Agent,My pleasure!,,,,,
Agent,Hey Alayna! I was going to get your list ready to choose from so we can start scheduled tours for next week. Is the plan still to be in Houston on the 1st?,,,,,
Lead,"Hey Ashanti, the plans have changed a bit but these plans are set in stone now. I will move to Houston July 14th and I will be there permanently. I will stay in an airbnb while we find an apartment, get furniture etc & we hope to be moved into an apartment by August 2nd.",,,,,
Lead,I also found an apartment that I like I was wondering do you only work with certain properties?,,,,,
Agent,"Okay, sounds perfect. Most apartments work with us but not every one of them. Which apartment?",,,,,
Lead,Beckett Cottingham,,,,,
Agent,Yes they work with us. We can definitely see them when you’re in town,,,,,
Agent,Is that the only one you had your eye on so far?,,,,,
Lead,Prose South Main and Haven at Main,,,,,
Agent,Got it. All else is the same? Budget under $1800 within 30 mins of Texas Southern?,,,,,
Lead,yes,,,,,
Agent,I’ll be searching for others up until you come. Do you want to start touring that Monday the 15th?                                                                                                                                                                                                ,,,,,
Lead,yes the 15th works ,,,Time to schedule tours,,
Agent,Okay,,,,,
Lead,"Hi Ashanti, so for Beckett Cottingham we have to pay first and last month rent to move in. Will all of the apartments be like that ?",,,,,
Agent,"Hey Alayna, what do you mean? Did you tour and apply already?",,,,,
Lead,"no, i read the breakdown on the site i will show you ",,,,,
,*Lead sends screen shot of price breakdown,,,,,
Agent,"The deposit depends on your approval status but they all start at $350. Full approval the deposit will be $350. If you’re approved with conditions the deposit will be more, up to a full months rent",,,,,
Lead,okay ,,,,,
Agent,Hey Alayna! Wanted to check in on your day of tours. How did everything go today?,,,,,
Lead,"hey ashanti, i went to one of my tours i really liked that one ! i rescheduled the other one to wednesday",,,,,
Agent,Nice! Which one did you see today and which is Wednesday?,,,,,
Lead,haven at main was today & nantucket is wednesday,,,,,
Agent,Okay sounds good. Will you be seeing Beckett Cottingham too?,,,,,
Lead,"yes, did you want me to schedule that one or will you do it ",,,,,
Agent,When would you like to see it? I’ll schedule. Are there any others you specifically wanted to add?,,,,,
Lead,wednesday at 12:30 would be great & no i am still open to all suggestions !,,,,,
Agent,Okay sounds good. I’ll get you set up and see if I can add others!,,,Time to schedule tours,,
Agent,"Good morning Alayna, you’re all set for Beckett Cottingham tomorrow at 12:30pm 👍🏼",,,,,
Lead,thank you !,,,,,
Agent,You’re welcome! I truly think you have the best options to choose from. Did you want to add Prose South Main? They were one of your original favorites and have a 2/2 for $1705. Last one available,,,,,
Lead,yes,,,,,
Agent,Tomorrow? What time?,,,,,
Lead,is tomorrow at 2pm available,,,Time to schedule tours,,
Agent,"Yes, it’s scheduled for 2pm! You’ll get an invite soon",,,,,
Agent,"Good afternoon Alayna, how did tours go today?",,,,,
Lead,hi ! the first one was good i still have 2 more ,,,,,
Lead,1 more*,,,,,
Agent,Okay! Let me know where you guys stand when they’re all done 🤞🏼,,,,,
Lead,we want to apply for nantucket ! ,,,want to apply,,
Agent,Nice! Don’t have the unit picked out that you want to apply to?,,,,,
Lead,yes unit 302 ,,,,,
Agent,Okay awesome! Let me know if there’s anything I can do to help,,,,,
Agent,"When you start your application, please be on the look out for the referral section. Thats the only way the apartment takes care of me and allows me to step in on your behalf during the application process 👍🏼",,,,,
Lead,okay !,,,,,
Agent,Hey Alayna! Are you all set with the application? Already submitted or have any questions?,,,,,
Lead,"Hey, we have not submitted the application yet we will work on that later today i will let you know if we have any questions",,,,,
Agent,"Sounds good, I’ll be here if you have questions",,,,,
Agent,"Hey Alayna, all go well with your app? Were you able to submit, no problems?",,,,,
Lead,"hi ashanti, we haven’t applied yet i still have been waiting on my roommate to be ready & we are also going with beckett cottingham instead ",,,,,
Agent,"Hey Alayna, okay no problem thanks for the heads up. Please follow the same directions on your app for the referral section. And let me know however I can step in and be helpful",,,,,
Agent,"Good afternoon Alayna, just letting you know I’ll be here if you need. I know originally you wanted to be moved in by Aug 2nd so please keep me updated on your application status and if I can help communicate with the leasing office at all",,,,,
Lead,"Hi Ashanti, I am trying to submit my application but they do not have an option to put how i found them & i do not want to submit it without adding you ",,,,,
Agent,"Hey Alayna, did you see the question “How did you hear about us?” on the registration page?",,,,,
Agent,If not I’ll contact them today and see if they have a different process,,,,,
Lead,"hey, no there was no question ",,,,,
Agent,"Okay, it’s possible they have you sign something when you move in stating I’m your locator. I’ll let you know",,,,,Human should know they need to look up referral process at this apartment 
Agent,"Hey, so they told me there’s a spot that is kind of easy to miss. It’ll say Referred by/who referred you/how did you hear about us/how did you find us? Something like that 

She said you can navigate back and she thought it was on step 1 or 2 earlier in the application

Sorry so vague 🫤 if you just can’t find it at all go ahead and still submit ",,,,,
Lead,"they made that up ! that is not on there, even when i start a new application ",,,,,
Agent,Mmm I’m going to see if I can get something in writing from them tomorrow. Thanks for double checking!,,,,,
Agent,You’re good to submit! Thanks for looking out for me 🙂,,,,,
Lead,no problem ! ,,,,,
Agent,Hey Alayna! Checking on you. Have you been approved yet?,,,,,
Agent,Quick follow up. Are you all good?,,,,,
Lead,"hey, yes ! ",,,,,
Lead,we were approved today,,,,lead said she was approved,
Agent,That’s great! Congratulations! I’m happy we found the right place. And thankful you decide to work with me. Thank you!,,,,,
Agent,"Also, I’ll need a few details so we can invoice the property correctly and ensure I get credit for referring you. Would you please confirm the details below:

Unit:
Base rent:
Move date:
Lease term:",,,,,
Agent,"Sent voice message: Hey Elena, yes I wanted to reach out real quick. I I spoke with Becca Cottingham and they they told me that your application wasn't fully submitted so I don't know if it was a mess up on on their end or what just kind of wanted to reach out let you know and and see what direction you were trying to go into so if you were trying to go in the direction of Becca, Cottingham, cool if not, and you had something else going on that you wanted to go in a different direction kindly just you know let me know where where you guys intended to go so I can kind of move from there and know what I'm just be on the same plane and as far as what we're doing all right, talk to you soon.",,,,Has a roommate so both never fully applied,
Lead,it’s because they are pulling my application not my roommates. my roommate completed the application & added me to it after i already started one that i didn’t submit ,,,,,
Agent,"Ooo got it, what’s your roommates name?",,,,,
Lead,Samiyyah Agee ,,,,,
Lead,we are also going there now so i can get it figured out,,,,,
Agent,Okay perfect thanks. Okay sounds good,,,,,
Agent,"Hey Alayna, what apartment number were you approved for?",,,,,
Lead,"the new apartment is Prose South Main
Apt #5208 ",,,,Approved at a different apartment ,
Agent,"Perfect, thanks! And how many months is your lease?",,,,,
Lead,12 months,,,,,
Agent,Thanks!,,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Good evening Lila! its Ashanti with Apt Amigo. Thanks for submitting your form to let us help with finding your next apartment! I’ll send all the best deals and specials for your move date, I just need to clarify a few things from your form submission. 
 
Is your move date flexible or do you have a lease ending?",,,,,
Lead,"Lease ends Aug 1, so move in date is flexible between July 15-30",,,,,
Agent,"Perfect, thanks! Is moving in with a pet the reason for the private yard?",,,,,
Lead,Yes,,,,,
Lead,The private yard is a must have,,,,,
Agent,"Got it! Is there anything else you want to mention that would make the apartment perfect? Apartment features, amenities, size, etc?",,,,,
Lead,Def needs a washer and dryer in the unit! Nothing else too crazy!,,,,,
Agent,"Got it, and for budget is $1800 absolute cut off point?",,,,,
Lead,Depends on what utilities are included I guess! But for rent alone yes probably around there ,,,,,
Lead,And can’t be more than 30 minutes from Rice University!,,,,,
Agent,Okay got it. I’ll send some options tomorrow and we can start scheduling tours!,,,,,
Lead,Thank you!! ,,,,,
Agent,Happy to help!,,,,,
Lead,I saw your email. I made an account but how do i get to the ones that have the yards and are in my price range and area?,,,,,
Agent,"Morning Lila, I wasn’t quite done marking recommendations. For the yard are you looking for first floor with a patio/balcony or is it mandatory that you have some kind of grass?",,,,,
Lead,"Oh gotcha! I see. Yes mandatory to have some grass. Just for my dog to use the bathroom. Obviously the larger the yard the better, but we do need some sort of grass",,,,,
Agent,Got it! You can see my recommendations in real time in your account. I still need to call up some of the buildings to verify there’s grass in the yard. I’ll do that today,,,,,
Lead,Thank you very much! And just to clarify—your services are free and we just should refer you on our application? ,,,,,
Agent,"I’m happy to help! And yes correct, 100% free. No charges or changes to your lease. Please just refer me on the application and the property you choose will credit me for the referral.",,,,,
Agent,Preserve at Highway 6… That distance from Rice is OK for you?,,,,,
Lead,A bit far for us but we can look. Seems like the yard is gravel though so if that’s the case that wouldn’t work,,,,,
Lead,Can I schedule tours for the ones you recommended already? ,,,,,
Agent,"You can either schedule and update me on the date & times or I can schedule for you. I’d be happy to, it’s up to you ",,,,,"Not typical. I usually schedule tours for all leads so there is a thread showing I was the one who scheduled, in case a building wants to challenge our referral"
Lead,Sounds good!! ,,,,,
Agent,"When do you plan to tour your favorites? Avasa and The Westover, I’ve confirmed those units have yards!",,,,,
Lead,we setup both tours for tomorrow!,,,,,
Agent,Perfect! What time are they set for?,,,,,
Lead,1 and 2pm!,,,,,
Agent,Perfect! Are you seeing Preserve at Highway 6 also?,,,,,
Lead,probably this weekend!,,,,,
